Time, Value
28098, 172.82
28110, 173.6
28119, 173.29
28129, 172.79
28140, 172.79
28149, 172.74
28158, 172.74
28168, 172.81
28178, 172.51
28187, 172.51
28198, 172.48
28208, 172.72
28217, 172.72
28226, 172.62
28236, 172.86
28247, 172.86
28257, 172.55
28265, 172.38
28276, 172.38
28285, 172.61
28293, 172.58
28303, 172.58
28313, 172.93
28321, 172.93
28332, 172.42
28341, 172.5
28350, 172.5
28360, 172.49
28369, 172.49
28378, 172.49
28386, 172.51
28398, 172.51
28407, 172.92
28415, 172.71
28424, 172.71
28435, 172.91
28444, 172.91
28453, 172.7
28464, 172.86
28472, 172.86
28481, 172.64
28489, 172.64
28499, 173.01
28510, 173.11
28520, 173.23
28529, 173.23
28540, 173.08
28548, 173.08
28558, 172.74
28568, 172.57
28577, 172.57
28586, 172.54
28595, 172.38
28605, 172.38
28615, 172.59
28625, 172.59
28635, 171.93
28644, 171.98
28653, 171.98
28664, 171.93
28674, 172.44
28683, 172.44
28695, 171.78
28703, 170.52
28712, 170.52
28724, 171.34
28732, 171.34
28742, 171.41
28750, 171.74
28761, 171.74
28771, 171.81
28780, 171.52
28791, 171.52
28802, 171.62
28810, 171.2
28819, 171.2
28829, 170.84
28839, 170.84
28849, 171.75
28857, 172.6
28868, 172.6
28877, 171.88
28885, 172.3
28896, 172.3
28905, 172.18
28914, 172.18
28924, 172.69
28934, 171.86
28943, 171.86
28951, 171.73
28961, 171.73
28971, 171.76
28979, 171.76
28990, 172.06
28999, 172.15
29007, 172.15
29016, 172.48
29026, 172.43
29036, 172.43
29046, 172.39
29055, 172.39
29065, 172.39
29075, 172.66
29084, 172.66
29094, 172.62
29103, 172.2
29113, 172.2
29123, 172.34
29132, 172.84
29141, 172.84
29149, 172.91
29160, 172.91
29170, 173.38
29180, 171.95
29192, 171.95
29201, 172.14
29210, 172.24
29220, 172.24
29230, 172.14
29238, 172.14
29247, 171.32
29258, 171.43
29266, 171.43
29276, 170.88
29286, 171.28
29295, 171.28
29304, 171.35
29313, 171.35
29324, 171.33
29332, 171.34
29341, 171.34
29353, 171.78
29361, 171.85
29370, 171.85
29381, 172.03
29389, 172.03
29399, 171.77
29408, 171.85
29418, 171.85
29429, 172.39
29437, 172.43
29446, 172.43
29457, 172.75
29465, 172.75
29474, 172.64
29484, 172.53
29494, 172.53
29503, 172.69
29512, 172.86
29522, 172.86
29532, 172.72
29540, 172.72
29552, 172.19
29563, 172.69
29572, 172.69
29582, 172.28
29592, 171.33
29601, 171.33
29610, 171.71
29620, 171.71
29631, 171.93
29640, 171.61
29648, 171.61
29659, 171.58
29667, 171.74
29676, 171.74
29688, 171.88
29696, 171.88
29705, 172.38
29716, 171.67
29725, 171.67
29734, 171.26
29743, 171.29
29754, 171.29
29763, 171.3
29772, 171.3
29783, 171.26
29793, 171.25
29801, 171.25
29812, 171.56
29820, 172.13
29829, 172.13
29839, 172.16
29847, 172.16
29858, 172.02
29868, 172
29876, 172
29888, 171.72
29896, 172.43
29904, 172.43
29916, 172.31
29924, 171.95
29933, 171.95
29943, 172.11
29953, 172.11
29962, 172.2
29971, 172.09
29982, 172.09
29992, 172.3
30000, 172.71
30011, 172.71
30021, 173.04
30029, 173.04
30039, 173.04
30049, 172.87
30058, 172.87
30069, 172.45
30079, 172.54
30089, 172.54
30099, 172.16
30108, 172.16
30118, 172.16
30127, 171.94
30135, 171.94
30145, 172.53
30156, 172.82
30165, 172.82
30175, 172.84
30186, 172.92
30196, 172.92
30207, 173.54
30218, 172.83
30228, 172.83
30238, 173.13
30248, 172.9
30259, 172.9
30268, 172.69
30279, 172.34
30288, 172.34
30298, 172.29
30308, 172.15
30319, 172.15
30329, 172.21
30340, 173.15
30350, 173.15
30361, 172.74
30371, 172.89
30382, 172.89
30393, 172.04
30401, 172.03
30411, 172.03
30423, 172.27
30432, 172.73
30441, 172.73
30453, 172.79
30463, 173.31
30473, 173.31
30484, 172.09
30495, 172.44
30505, 172.44
30516, 172.96
30526, 172.36
30536, 172.36
30547, 173.35
30556, 173.1
30567, 173.1
30578, 173.48
30587, 173.19
30597, 173.19
