Time, Value
28098, 136.84
28110, 137
28119, 137.26
28129, 137.27
28140, 137.27
28149, 137.23
28158, 137.23
28168, 137.32
28178, 137.52
28187, 137.52
28198, 137.51
28208, 137.17
28217, 137.17
28226, 137.19
28236, 137.04
28247, 137.04
28257, 137.11
28265, 137.4
28276, 137.4
28285, 137.33
28293, 137.78
28303, 137.78
28313, 137.94
28321, 137.94
28332, 137.93
28341, 137.88
28350, 137.88
28360, 138.02
28369, 137.75
28378, 137.75
28386, 137.72
28398, 137.72
28407, 137.69
28415, 137.65
28424, 137.65
28435, 137.55
28444, 137.55
28453, 137.95
28464, 137.75
28472, 137.75
28481, 138.16
28489, 138.16
28499, 137.94
28510, 137.78
28520, 137.76
28529, 137.76
28540, 138.07
28548, 138.07
28558, 138.47
28568, 138.07
28577, 138.07
28586, 137.94
28595, 137.99
28605, 137.99
28615, 137.58
28625, 137.58
28635, 137.42
28644, 137.74
28653, 137.74
28664, 137.88
28674, 137.76
28683, 137.76
28695, 137.49
28703, 138.15
28712, 138.15
28724, 138.5
28732, 138.5
28742, 138.57
28750, 138.43
28761, 138.43
28771, 137.64
28780, 138.97
28791, 138.97
28802, 138.86
28810, 138.92
28819, 138.92
28829, 139.4
28839, 139.4
28849, 139.21
28857, 138.43
28868, 138.43
28877, 138.42
28885, 138.67
28896, 138.67
28905, 138.74
28914, 138.74
28924, 138.18
28934, 137.91
28943, 137.91
28951, 138.41
28961, 138.41
28971, 138.11
28979, 138.11
28990, 137.88
28999, 137.97
29007, 137.97
29016, 137.68
29026, 138.09
29036, 138.09
29046, 138.11
29055, 138.11
29065, 138.1
29075, 137.78
29084, 137.78
29094, 137.78
29103, 138.34
29113, 138.34
29123, 138.2
29132, 137.88
29141, 137.88
29149, 138.1
29160, 138.1
29170, 137.33
29180, 137.25
29192, 137.25
29201, 137.33
29210, 137.22
29220, 137.22
29230, 137.53
29238, 137.53
29247, 138.39
29258, 137.98
29266, 137.98
29276, 137.96
29286, 138.87
29295, 138.87
29304, 138.77
29313, 138.77
29324, 139.38
29332, 139.37
29341, 139.37
29353, 139.24
29361, 139.28
29370, 139.28
29381, 139.28
29389, 139.28
29399, 138.98
29408, 138.79
29418, 138.79
29429, 138.78
29437, 138.48
29446, 138.48
29457, 138.46
29465, 138.46
29474, 138.09
29484, 137.84
29494, 137.84
29503, 137.79
29512, 137.64
29522, 137.64
29532, 137.78
29540, 137.78
29552, 137.94
29563, 137.61
29572, 137.61
29582, 137.94
29592, 138.43
29601, 138.43
29610, 138.13
29620, 138.13
29631, 137.41
29640, 137.13
29648, 137.13
29659, 138.21
29667, 137.56
29676, 137.56
29688, 138.35
29696, 138.35
29705, 138.85
29716, 139.05
29725, 139.05
29734, 139.63
29743, 139.63
29754, 139.63
29763, 139.56
29772, 139.56
29783, 139.51
29793, 139.18
29801, 139.18
29812, 138.98
29820, 139.27
29829, 139.27
29839, 138.25
29847, 138.25
29858, 138
29868, 138.45
29876, 138.45
29888, 138.33
29896, 138.26
29904, 138.26
29916, 138.3
29924, 138.48
29933, 138.48
29943, 138.38
29953, 138.38
29962, 138.98
29971, 139.51
29982, 139.51
29992, 139.05
30000, 138.78
30011, 138.78
30021, 138.23
30029, 138.23
30039, 138.16
30049, 137.94
30058, 137.94
30069, 138.21
30079, 138.54
30089, 138.54
30099, 139.08
30108, 138.96
30118, 138.96
30127, 139.13
30135, 139.13
30145, 138.92
30156, 138.52
30165, 138.52
30175, 138.38
30186, 138.83
30196, 138.83
30207, 138.68
30218, 138.87
30228, 138.87
30238, 138.5
30248, 138.1
30259, 138.1
30268, 137.95
30279, 138.19
30288, 138.19
30298, 137.95
30308, 137.53
30319, 137.53
30329, 137.52
30340, 137.54
30350, 137.54
30361, 137.81
30371, 137.97
30382, 137.97
30393, 138.44
30401, 138.43
30411, 138.43
30423, 138.39
30432, 137.94
30441, 137.94
30453, 138.13
30463, 138.21
30473, 138.21
30484, 138.07
30495, 137.83
30505, 137.83
30516, 138.16
30526, 137.64
30536, 137.64
30547, 137.48
30556, 137.68
30567, 137.68
30578, 137.97
30587, 138.48
30597, 138.48
30608, 138.57
30618, 138.22
30628, 138.22
30638, 138.43
30649, 138.4
30658, 138.4
30668, 138.27
30679, 138.15
30688, 138.15
30699, 137.77
30708, 137.77
30721, 138.48
30732, 138.57
30743, 137.93
30753, 137.93
30764, 137.78
30774, 137.85
30785, 137.85
30795, 138.4
30805, 138.5
30815, 138.5
30825, 138.42
30835, 138.49
30845, 138.49
30853, 138.72
30862, 138.72
30873, 138.63
30882, 138.21
30891, 138.21
30901, 138.05
30909, 138.05
30920, 137.7
30929, 138.56
30939, 138.56
30951, 138.69
30961, 138.52
30978, 138.53
30990, 138.16
31000, 138.16
31011, 138.73
31021, 138.23
31030, 138.23
31041, 138.21
31051, 138.08
31060, 138.08
31071, 137.6
31079, 137.6
31088, 137.48
31097, 137.32
31107, 137.32
31119, 137.52
31128, 137.18
31138, 137.18
31148, 137.33
31157, 137.64
31171, 137.64
31183, 137.74
31194, 137.76
31205, 137.76
31217, 137.5
31228, 137.84
31239, 137.84
31252, 138.32
31261, 138.58
31273, 138.58
31283, 138.49
31292, 138.14
31303, 138.14
31314, 138.01
31324, 137.93
31335, 137.93
31344, 137.84
31354, 137.75
31364, 137.75
31374, 137.61
31382, 137.75
31392, 137.75
31403, 137.7
31411, 137.71
31423, 137.71
31435, 137.58
31443, 137.44
31453, 137.44
31462, 137.7
31472, 137.7
31482, 137.85
31492, 137.67
31501, 137.67
31512, 137.68
31520, 137.79
31529, 137.79
31540, 138.06
31549, 138.06
31558, 138.3
31570, 137.86
31578, 137.86
31587, 137.66
31597, 137.66
31605, 137.66
31615, 137.56
31624, 137.56
31634, 137.56
31644, 137.98
31652, 137.98
31663, 138.26
31673, 138.1
31682, 138.1
31692, 138.22
31701, 138.1
31711, 138.1
31721, 138.14
31729, 138.14
31740, 138.1
31748, 138.05
31757, 138.05
31769, 137.95
31779, 138.09
31788, 138.09
31799, 138.02
31807, 138.02
31817, 137.91
31827, 137.53
31837, 137.53
31847, 137.88
31856, 137.84
31867, 137.84
31877, 138.18
31885, 138.18
31896, 138.18
31905, 138.44
31913, 138.44
31924, 138.4
31933, 138.42
31941, 138.42
31951, 138.19
31959, 138.19
31970, 138.32
31979, 138.27
31988, 138.27
31999, 138.14
32007, 138.14
32017, 138.29
32025, 137.88
32036, 137.88
32045, 137.96
32053, 137.96
32065, 137.83
32075, 137.93
32083, 137.93
32094, 137.44
32103, 137.66
32111, 137.66
32121, 137.74
32131, 137.66
32140, 137.66
32151, 137.68
32160, 137.61
32169, 137.61
32179, 137.93
32189, 138.22
32198, 138.22
32211, 138.41
32221, 138.41
32231, 138.3
32241, 138.57
32251, 138.57
32261, 138.6
32271, 138.23
32281, 138.23
32292, 138.37
32301, 138.44
32311, 138.44
32321, 138.61
32332, 138.27
32341, 138.27
32351, 138.28
32361, 138.39
32370, 138.39
32381, 138.54
32391, 138.54
32400, 137.14
32409, 138.74
32420, 138.74
32433, 138.67
32443, 138.44
32453, 138.44
32462, 138.28
32471, 138.31
32481, 138.31
32492, 138.22
32500, 138.62
32509, 138.62
32521, 138.59
32529, 138.45
32540, 138.45
32550, 138.27
32561, 138.37
32570, 138.37
32579, 138.22
32589, 138.22
32599, 138.5
32608, 138.49
32617, 138.49
32628, 138.45
32638, 137.98
32647, 137.98
32658, 137.9
32666, 137.9
32676, 137.84
32685, 137.88
32695, 137.88
32704, 137.81
32712, 137.81
32723, 137.78
32733, 138
32741, 138
32754, 138.29
32764, 138.22
32772, 138.22
32782, 138.47
