Time, Value
28098, 129.81
28110, 130.44
28119, 130.62
28129, 130.65
28140, 130.65
28149, 130.61
28158, 130.61
28168, 130.23
28178, 130.79
28187, 130.79
28198, 130.69
28208, 130.34
28217, 130.34
28226, 130.72
28236, 131.02
28247, 131.02
28257, 131.12
28265, 131.25
28276, 131.25
28285, 131.63
28293, 131.82
28303, 131.82
28313, 131.9
28321, 131.9
28332, 131.19
28341, 130.58
28350, 130.58
28360, 130.98
28369, 131.22
28378, 131.22
28386, 131.35
28398, 131.35
28407, 131.39
28415, 131.55
28424, 131.55
28435, 131.63
28444, 131.63
28453, 131.05
28464, 131.09
28472, 131.09
28481, 130.71
28489, 130.71
28499, 130.69
28510, 130.98
28520, 130.95
28529, 130.95
28540, 131.03
28548, 131.03
28558, 131.69
28568, 132.07
28577, 132.07
28586, 132.15
28595, 132.87
28605, 132.87
28615, 133.27
28625, 133.27
28635, 132.79
28644, 132.89
28653, 132.89
28664, 132.32
28674, 132.28
28683, 132.28
28695, 131.35
28703, 133.11
28712, 133.11
28724, 132.92
28732, 132.92
28742, 131.69
28750, 130.89
28761, 130.89
28771, 133.21
28780, 134.9
28791, 134.9
28802, 135
28810, 134.78
28819, 134.78
28829, 134.86
28839, 134.86
28849, 134.72
28857, 134.38
28868, 134.38
28877, 132.93
28885, 132.6
28896, 132.6
28905, 132.18
28914, 132.18
28924, 131.91
28934, 131.14
28943, 131.14
28951, 131.72
28961, 131.72
28971, 130.94
28979, 130.94
28990, 131.22
28999, 131.2
29007, 131.2
29016, 131.12
29026, 129.64
29036, 129.64
29046, 129.78
29055, 129.78
29065, 130.15
29075, 130.14
29084, 130.14
29094, 130.04
29103, 131.33
29113, 131.33
29123, 131.7
29132, 131.31
29141, 131.31
29149, 130.73
29160, 130.73
29170, 130.78
29180, 131.2
29192, 131.2
29201, 131.5
29210, 131.97
29220, 131.97
29230, 132.11
29238, 132.11
29247, 133.75
29258, 134.05
29266, 134.05
29276, 133.29
29286, 133.91
29295, 133.91
29304, 133.6
29313, 133.6
29324, 134.95
29332, 134.63
29341, 134.63
29353, 134.63
29361, 133.79
29370, 133.79
29381, 134.11
29389, 134.11
29399, 132.85
29408, 134.01
29418, 134.01
29429, 134.31
29437, 133.59
29446, 133.59
29457, 133.03
29465, 133.03
29474, 132.04
29484, 133.02
29494, 133.02
29503, 133.16
29512, 133.37
29522, 133.37
29532, 133.68
29540, 133.68
29552, 134.15
29563, 134.84
29572, 134.84
29582, 134.06
29592, 135
29601, 135
29610, 136.7
29620, 136.7
29631, 131.92
29640, 133.43
29648, 133.43
29659, 132.69
29667, 133.26
29676, 133.26
29688, 131.22
29696, 131.22
29705, 139.65
29716, 139.11
29725, 139.11
29734, 138.54
29743, 137.76
29754, 137.76
29763, 136.59
29772, 136.59
29783, 136.55
29793, 136.4
29801, 136.4
29812, 135.71
29820, 135.91
29829, 135.91
29839, 134.04
29847, 134.04
29858, 135.07
29868, 134.8
29876, 134.8
29888, 135.27
29896, 135.13
29904, 135.13
29916, 134.23
29924, 134.5
29933, 134.5
29943, 134.46
29953, 134.46
29962, 137.41
29971, 137.34
29982, 137.34
29992, 137.49
30000, 136.97
30011, 136.97
30021, 135.77
30029, 135.77
30039, 135.34
30049, 134.71
30058, 134.71
30069, 134.45
30079, 136.14
30089, 136.14
30099, 135.27
30108, 135.5
30118, 135.5
30127, 135.79
30135, 135.79
30145, 135.31
30156, 133.26
30165, 133.26
30175, 132.96
30186, 135.02
30196, 135.02
30207, 135.04
30218, 135.4
30228, 135.4
30238, 135.02
30248, 132.82
30259, 132.82
30268, 133.06
30279, 132.86
30288, 132.86
30298, 132.88
30308, 131.54
