Time, Value
28098, 109.62
28110, 108.79
28119, 108.77
28129, 109.01
28140, 109.01
28149, 109.03
28158, 109.03
28168, 109.31
28178, 109.26
28187, 109.26
28198, 109.32
28208, 109.71
28217, 109.71
28226, 109.72
28236, 109.71
28247, 109.71
28257, 109.75
28265, 109.08
28276, 109.08
28285, 109.24
28293, 109.44
28303, 109.44
28313, 109.43
28321, 109.43
28332, 109.15
28341, 108.76
28350, 108.76
28360, 108.82
28369, 108.96
28378, 108.96
28386, 108.77
28398, 108.77
28407, 108.69
28415, 108.84
28424, 108.84
28435, 108.83
28444, 108.83
28453, 109.92
28464, 110.01
28472, 110.01
28481, 109.72
28489, 109.72
28499, 109.26
28510, 108.69
28520, 108.82
28529, 108.82
28540, 109.15
28548, 109.15
28558, 109.67
28568, 109.76
28577, 109.76
28586, 109.67
28595, 108.66
28605, 108.66
28615, 108.78
28625, 108.78
28635, 108.58
28644, 109.28
28653, 109.28
28664, 109.47
28674, 109.33
28683, 109.33
28695, 109.25
28703, 109.77
28712, 109.77
28724, 110.24
28732, 110.24
28742, 110.1
28750, 110.45
28761, 110.45
28771, 109.94
28780, 110.31
28791, 110.31
28802, 110.26
28810, 110.14
28819, 110.14
28829, 110.3
28839, 110.3
28849, 109.93
28857, 109.87
28868, 109.87
28877, 109.61
28885, 109.29
28896, 109.29
28905, 109.02
28914, 109.02
28924, 108.91
28934, 108.92
28943, 108.92
28951, 109.09
28961, 109.09
28971, 108.87
28979, 108.87
28990, 109.1
28999, 108.79
29007, 108.79
29016, 109.03
29026, 109.02
29036, 109.02
29046, 109.32
29055, 109.32
29065, 109.39
29075, 109.42
29084, 109.42
29094, 109.17
29103, 109.67
29113, 109.67
29123, 109.53
29132, 109.09
29141, 109.09
29149, 109.06
29160, 109.06
29170, 109.02
29180, 109.14
29192, 109.14
29201, 109.3
29210, 108.83
29220, 108.83
29230, 108.64
29238, 108.64
29247, 109.06
29258, 109.19
29266, 109.19
29276, 109.21
29286, 109.85
29295, 109.85
29304, 110.29
29313, 110.29
29324, 110.78
29332, 111.07
29341, 111.07
29353, 110.89
29361, 110.93
29370, 110.93
29381, 111.27
29389, 111.27
29399, 110.96
29408, 111.22
29418, 111.22
29429, 110.75
29437, 110.63
29446, 110.63
29457, 110.76
29465, 110.76
29474, 110.5
29484, 110.41
29494, 110.41
29503, 110.26
29512, 109.86
29522, 109.86
29532, 109.32
29540, 109.32
29552, 109.5
29563, 109.5
29572, 109.5
29582, 110.14
29592, 110.36
29601, 110.36
29610, 110.25
29620, 110.25
29631, 110.39
29640, 109.88
29648, 109.88
29659, 109.71
29667, 109.74
29676, 109.74
29688, 109.4
29696, 109.4
29705, 108.11
29716, 109.19
29725, 109.19
29734, 109.43
29743, 109.38
29754, 109.38
29763, 109.21
29772, 109.21
29783, 109.22
29793, 109.25
29801, 109.25
29812, 109.25
29820, 109.29
29829, 109.29
29839, 109.34
29847, 109.34
29858, 109.42
29868, 109.81
29876, 109.81
29888, 109.92
29896, 110.01
29904, 110.01
29916, 109.96
29924, 110.76
29933, 110.76
29943, 110.34
29953, 110.34
29962, 109.36
29971, 109.54
29982, 109.54
29992, 109.83
30000, 110.05
30011, 110.05
30021, 109.97
30029, 109.97
30039, 110.01
30049, 110.01
30058, 110.01
30069, 109.85
30079, 109.15
30089, 109.15
30099, 108.94
30108, 108.78
30118, 108.78
30127, 109.06
30135, 109.06
30145, 109.4
30156, 109.64
30165, 109.64
