Time, Value
28098, 89.25
28110, 89.67
28119, 89.21
28129, 88.62
28140, 88.62
28149, 88.62
28158, 88.62
28168, 88.74
28178, 88.63
28187, 88.63
28198, 88.68
28208, 89.14
28217, 89.14
28226, 89.08
28236, 89.26
28247, 89.26
28257, 88.88
28265, 88.69
28276, 88.69
28285, 88.97
28293, 89.28
28303, 89.28
28313, 89.63
28321, 89.63
28332, 89.24
28341, 89.23
28350, 89.23
28360, 89.22
28369, 89.05
28378, 89.05
28386, 89.03
28398, 89.03
28407, 89.29
28415, 89.11
28424, 89.11
28435, 89.22
28444, 89.22
28453, 89.26
28464, 89.38
28472, 89.38
28481, 89.06
28489, 89.06
28499, 89.27
28510, 89.26
28520, 89.33
28529, 89.33
28540, 89.5
28548, 89.5
28558, 89.39
28568, 89.53
28577, 89.53
28586, 89.43
28595, 89.14
28605, 89.14
28615, 89.18
28625, 89.18
28635, 88.6
28644, 88.97
28653, 88.97
28664, 88.89
28674, 89.25
28683, 89.25
28695, 88.58
28703, 87.91
28712, 87.91
28724, 88.76
28732, 88.76
28742, 88.76
28750, 89.16
28761, 89.16
28771, 89.7
28780, 89.56
28791, 89.56
28802, 89.47
28810, 89.18
28819, 89.18
28829, 89.12
28839, 89.12
28849, 89.91
28857, 90.27
28868, 90.27
28877, 89.51
28885, 89.85
28896, 89.85
28905, 89.41
28914, 89.41
28924, 89.61
28934, 88.8
28943, 88.8
28951, 89.15
28961, 89.15
28971, 89.03
28979, 89.03
28990, 89.54
28999, 89.51
29007, 89.51
29016, 89.58
29026, 89.37
29036, 89.37
29046, 89.94
29055, 89.94
29065, 89.93
29075, 89.89
29084, 89.89
29094, 89.99
29103, 90.42
29113, 90.42
29123, 90.7
29132, 90.47
29141, 90.47
29149, 90.36
29160, 90.36
29170, 90.56
29180, 89.04
29192, 89.04
29201, 89.45
29210, 89.89
29220, 89.89
29230, 89.72
29238, 89.72
29247, 89.24
29258, 89.13
29266, 89.13
29276, 88.53
29286, 89.3
29295, 89.3
29304, 89.34
29313, 89.34
29324, 89.81
29332, 89.83
29341, 89.83
29353, 90.15
29361, 89.99
29370, 89.99
29381, 90.2
29389, 90.2
29399, 89.94
29408, 90.38
29418, 90.38
29429, 90.84
29437, 90.62
29446, 90.62
29457, 90.78
29465, 90.78
29474, 90.62
29484, 90.55
29494, 90.55
29503, 90.59
29512, 90.18
29522, 90.18
29532, 90.03
29540, 90.03
29552, 89.42
29563, 89.88
29572, 89.88
29582, 89.81
29592, 90.28
29601, 90.28
29610, 90.75
29620, 90.75
29631, 90.94
29640, 91.19
29648, 91.19
29659, 91.03
29667, 91.23
29676, 91.23
29688, 90.81
29696, 90.81
29705, 91.46
29716, 91.34
29725, 91.34
29734, 91.04
29743, 90.75
29754, 90.75
29763, 90.53
29772, 90.53
29783, 90.43
29793, 90.4
29801, 90.4
29812, 90.27
29820, 90.78
29829, 90.78
29839, 90.69
29847, 90.69
29858, 90.73
29868, 90.87
29876, 90.87
29888, 91
29896, 90.95
29904, 90.95
29916, 90.79
29924, 91.42
29933, 91.42
29943, 91.84
29953, 91.84
29962, 91.93
29971, 91.48
29982, 91.48
29992, 91.76
30000, 92.08
30011, 92.08
30021, 92.28
30029, 92.28
30039, 92.4
30049, 92.33
30058, 92.33
30069, 91.86
30079, 91.84
30089, 91.84
30099, 91.62
30108, 91.28
30118, 91.28
30127, 91.18
30135, 91.18
30145, 91.58
30156, 91.53
30165, 91.53
30175, 91.54
30186, 91.92
30196, 91.92
30207, 91.64
30218, 91.12
30228, 91.12
30238, 91.08
30248, 90.81
30259, 90.81
30268, 90.79
30279, 90.38
30288, 90.38
30298, 90.53
30308, 89.93
30319, 89.93
30329, 89.96
30340, 90.3
30350, 90.3
30361, 89.96
30371, 90.3
30382, 90.3
30393, 90.04
30401, 89.87
30411, 89.87
30423, 89.89
30432, 90.13
30441, 90.13
30453, 89.98
30463, 90.45
30473, 90.45
30484, 89.23
30495, 90.41
30505, 90.41
30516, 90.47
30526, 89.51
