Time, Value
28098, 0.94
28110, 0.95
28119, 0.94
28129, 0.94
28140, 0.94
28149, 0.94
28158, 0.94
28168, 0.94
28178, 0.94
28187, 0.94
28198, 0.94
28208, 0.94
28217, 0.94
28226, 0.94
28236, 0.94
28247, 0.94
28257, 0.94
28265, 0.94
28276, 0.94
28285, 0.94
28293, 0.95
28303, 0.95
28313, 0.95
28321, 0.95
28332, 0.95
28341, 0.94
28350, 0.94
28360, 0.94
28369, 0.94
28378, 0.94
28386, 0.94
28398, 0.94
28407, 0.94
28415, 0.95
28424, 0.95
28435, 0.95
28444, 0.95
28453, 0.95
28464, 0.95
28472, 0.95
28481, 0.95
28489, 0.95
28499, 0.95
28510, 0.95
28520, 0.95
28529, 0.95
28540, 0.95
28548, 0.95
28558, 0.95
28568, 0.95
28577, 0.95
28586, 0.95
28595, 0.95
28605, 0.95
28615, 0.95
28625, 0.95
28635, 0.94
28644, 0.94
28653, 0.94
28664, 0.95
28674, 0.95
28683, 0.95
28695, 0.94
28703, 0.94
28712, 0.94
28724, 0.94
28732, 0.94
28742, 0.94
28750, 0.95
28761, 0.95
28771, 0.95
28780, 0.95
28791, 0.95
28802, 0.95
28810, 0.95
28819, 0.95
28829, 0.95
28839, 0.95
28849, 0.95
28857, 0.95
28868, 0.95
28877, 0.95
28885, 0.95
28896, 0.95
28905, 0.95
28914, 0.95
28924, 0.95
28934, 0.95
28943, 0.95
28951, 0.95
28961, 0.95
28971, 0.95
28979, 0.95
28990, 0.95
28999, 0.95
29007, 0.95
29016, 0.95
29026, 0.95
29036, 0.95
29046, 0.95
29055, 0.95
29065, 0.95
29075, 0.95
29084, 0.95
29094, 0.95
29103, 0.95
29113, 0.95
29123, 0.95
29132, 0.95
29141, 0.95
29149, 0.95
29160, 0.95
29170, 0.95
29180, 0.95
29192, 0.95
29201, 0.95
29210, 0.96
29220, 0.96
29230, 0.95
29238, 0.95
29247, 0.95
29258, 0.95
29266, 0.95
29276, 0.95
29286, 0.95
29295, 0.95
29304, 0.95
29313, 0.95
29324, 0.95
29332, 0.94
29341, 0.94
29353, 0.94
29361, 0.94
29370, 0.94
29381, 0.94
29389, 0.94
29399, 0.94
29408, 0.95
29418, 0.95
29429, 0.95
29437, 0.95
29446, 0.95
29457, 0.95
29465, 0.95
29474, 0.95
